tier,session,h,block,n,vol,w_eff,w_real,w_impact
rest,midday,1s,136,48759,2915353.0,91913688.18722677,-8796099.87847446,100709788.06570125
rest,midday,1s,137,58014,3164027.0,92534225.12410988,3237050.0968396207,89297175.02727027
rest,midday,1s,138,50130,2857978.0,83001950.89378181,-9943554.643410262,92945505.53719203
rest,midday,1s,139,47290,2777684.0,70404182.53144875,-47709941.95930277,118114124.4907515
rest,midday,1s,140,38375,2260617.0,69115538.40081425,-7982329.282514765,77097867.683329
rest,midday,1s,141,37619,2103149.0,58980284.51724773,-20992447.544488776,79972732.0617365
rest,midday,1s,142,47829,2653745.0,79548280.03478085,2453962.226869937,77094317.80791089
rest,midday,1s,143,43818,2306486.0,134428428.38442516,67508235.42194295,66920192.96248224
rest,midday,1s,144,53704,2967080.0,112735657.28403635,18972277.171967275,93763380.11206907
rest,midday,1s,145,40471,2166848.0,60784627.6267522,8163002.481644789,52621625.14510742
rest,midday,1s,146,41091,2252801.0,65441267.30847476,-1705539.6224952925,67146806.93097006
rest,midday,1s,147,39382,2166933.0,68414807.25352989,8069633.20563088,60345174.04789901
rest,midday,1s,148,42306,2183507.0,49629930.47505423,-3810300.918621831,53440231.39367605
rest,midday,1s,149,43344,2331528.0,62656207.840513945,-7218222.555894065,69874430.39640802
rest,midday,1s,150,44519,2328877.0,58146072.06719729,-12038505.158105433,70184577.22530274
rest,midday,1s,151,39674,2360792.0,64552442.25308337,-18523325.40625566,83075767.65933904
rest,midday,1s,152,42832,2255974.0,56722568.035581045,2206395.962004358,54516172.073576696
rest,midday,1s,153,35719,1985876.0,61786715.42931822,-10647659.761218822,72434375.19053705
rest,midday,1s,154,44652,2294537.0,54807491.86721176,2857089.7238620785,51950402.14334967
rest,midday,1s,155,54152,3326702.0,67126470.0568362,-21264498.158033863,88390968.21487008
rest,midday,1s,156,50077,2777399.0,70267290.4973487,-15604301.896247454,85871592.39359616
rest,midday,1s,157,44712,2330904.0,55422681.37415925,-3018868.2147395806,58441549.58889883
rest,midday,1s,158,42823,2306403.0,54133354.19047988,-13996118.201080794,68129472.39156069
rest,midday,1s,159,44350,2284918.0,54001136.558206625,-7755405.715553069,61756542.27375969
rest,midday,1s,160,36218,1929582.0,48327264.849565074,-8226725.477587088,56553990.32715217
rest,midday,1s,161,47173,2620075.0,67205897.30628061,-29987040.548423972,97192937.85470457
rest,midday,1s,162,45473,2608324.0,62421803.00048428,-7274268.832268915,69696071.8327532
rest,midday,1s,163,49167,2762316.0,58478627.09380398,-19213882.914675254,77692510.00847924
