sym,session,n_in,n_out,beta,r2_in,r2_out
CAH,open,342,63,0.04192972261981459,0.16888677206205,0.3244952137797479
CAI,close,346,359,0.002359113917484252,0.5067676796500997,-2.960261452805985
CAI,midday,2046,1188,0.0033994280037698073,0.3419064864552022,0.18006184986447704
CAI,open,160,74,0.020752910986969464,0.6107963526244246,-8.021617351354175
CAIE,midday,85,91,0.011503606590208274,0.41737676308314514,0.1077178221779509
CAIQ,midday,318,171,0.002207772575004586,0.08964108758157613,0.19413522219501522
CAIQ,open,146,20,0.0019368749767649355,0.13685346904224918,-0.35746811758431907
CAKE,close,232,280,0.002478257607857401,0.4865260643726085,-2.039685699740142
CAKE,midday,1525,846,0.005156865552181425,0.3735046104263662,-0.01108121265260098
CAKE,open,177,57,0.020564497369223927,0.40178004198422357,-0.1719888758763839
CAL,close,526,330,0.0007337138866206745,0.31418974301221214,0.2900175671951738
CAL,midday,1959,946,0.0005223149389141405,0.2188508200929857,0.264768813851909
CAL,open,67,73,0.015592052419251922,0.2177925269244797,-0.6764330448598672
CALC,close,50,69,0.005634696199663653,0.27448858035990065,0.6500326958892447
CALC,midday,729,189,0.015083443721818204,0.3347723637163022,-5.103394269288126
CALF,close,718,441,0.00019754003474465223,0.3533165291903177,0.22991821703613968
CALF,midday,7814,3326,0.00022330163692653159,0.3882944343381147,0.14688888959142798
CALF,open,881,378,0.0004356023356819735,0.31338514832381015,0.35418565115039347
CALI,midday,45,12,0.0022985373299747795,0.4144578291460407,-17.320139731053384
CALM,close,285,304,0.003356153271295779,0.23244351204955455,-0.34955751347990693
CALM,midday,1355,778,0.005692552691548618,0.22286323164396082,0.38957338878935266
CALM,open,134,44,0.02583125994935573,0.34847317350597945,-0.010975617906882285
CALX,close,189,174,0.005375603995184735,0.40135723147822105,0.1471197851654341
CALX,midday,1261,735,0.008906517993365058,0.13698399569848654,0.19877858488064748
CALX,open,93,20,0.013915171942618926,0.010861762228545091,-0.2516190397820657
CAML,close,207,125,0.00044953464883921784,0.10741495071073413,-0.09741069838372995
CAML,midday,2921,901,0.0002698752166088617,0.1713906073744194,0.8959902285011416
CAML,open,641,194,0.00026259493734437464,0.19168398910131013,0.9607848662784788
CAMP,close,118,125,0.009711547120408275,0.42704458378942006,-0.17441486714587917
CAMP,midday,903,402,0.0012632172942470086,0.04188019941866341,0.1751209459847497
CAMP,open,35,37,0.010064313618751137,0.6626361441621207,0.08264022023288653
CAMT,close,164,179,0.01616372291929171,0.2716590708045121,0.015097377169737802
CAMT,midday,1256,648,0.05383470336261744,0.30654298245465017,-0.9501368681032232
CAMT,open,309,91,0.014301880669083878,0.21225427032801128,0.13697370814898135
CAMX,midday,344,85,0.06753505629477995,0.5979320847612121,0.6146655498594886
CAMX,open,83,20,0.055554104477611936,0.5262280047938651,0.3620917232529911
CAN,close,154,121,6.0240405519359855e-06,0.09911448621106675,0.3591136687300337
CAN,midday,1296,543,2.2243555080854824e-06,0.011976107078312101,0.0284231443236983
CAN,open,223,93,2.866187374681811e-05,0.22563528403525954,0.08344344454977992
CANC,close,175,69,0.0003203279697128549,0.0021904822961151442,-0.015621408601193654
CANC,midday,1344,403,0.0007077931453987294,0.10855935310847219,0.04303210428685367
CANC,open,508,87,0.0009525225798468717,0.2302919248961781,-0.1405031476410008
CANF,midday,67,13,1.5723502637516486e-05,0.007240065474051591,-0.004944337866407578
CANG,midday,239,37,0.0005510389407274813,0.3215026425116157,-0.40530120971699524
CANQ,close,35,16,0.0025948781021499297,0.23958712939716628,0.005062483496436343
CANQ,midday,361,99,0.00027968494067997276,0.08267282419578384,0.016254968048963758
CANQ,open,184,45,0.000217355477774141,0.08883293738009188,0.10323094520184628
CAOS,midday,87,137,0.0024217193849095688,0.20609151493879213,0.11209644657820694
CAPE,close,38,20,0.0016702457647339536,0.9743100294281396,0.8293680327754219
CAPE,midday,608,162,0.0015961828607837728,0.8717161774631318,0.6116511237112852
CAPE,open,291,82,0.0014752853095685854,0.29020514061933045,0.47700809501609076
CAPR,close,371,312,0.003872711418761601,0.3114772581817612,-0.6192429481576887
CAPR,midday,3342,1182,0.0010385622423456655,0.1077203066359902,0.11549008799241589
CAPR,open,333,108,0.002537814954918766,0.27733825857362593,0.14971515538400315
CAPS,midday,139,63,0.0002342397820694589,0.1850990609739343,0.09240201010753524
CAPT,midday,61,29,4.3239888828518094e-05,0.18723633640264767,-0.24383822640279518
CAPT,open,30,14,0.00011277281775776349,0.21650121001413677,0.1279267442195018
CAR,close,175,279,0.02150274942542063,0.31207473066844416,-0.42253172932345406
CAR,midday,1035,459,0.03268124269756486,0.24632198893366267,0.4515772832823719
CAR,open,75,34,0.016886439436756384,0.03390385912008262,0.08494890973506652
CARD,midday,305,35,0.0007565442982811126,0.2965436880861321,0.26776035467669324
CARD,open,107,14,0.001664605821608796,0.47392978550633963,0.42496485543386275
CARE,close,118,188,0.0005332010950219389,0.12270449501755452,0.1555022523843025
CARE,midday,555,461,0.0033623556432000145,0.14812052947272422,0.22369310903780004
CARE,open,44,28,0.01086996113768244,0.13492663565917273,-0.12068292757888432
CARG,close,269,358,0.0018808822908850428,0.5776609408321493,-0.33556149190113116
CARG,midday,1579,822,0.0017877115353328108,0.18603293954139624,0.5272595041562573
CARG,open,54,29,0.009415013638869665,0.06272770205345753,-0.07972588591212282
CARK,close,84,71,0.0008709436420060534,0.7542371939772422,0.4014086310776519
CARK,midday,2032,424,0.0007250270333039471,0.45556939590794077,0.39538264179909066
CARK,open,599,161,0.0010165213180794088,0.46774418855370903,0.45043031259572675
CARL,close,93,123,0.004531305912798141,0.138275445436628,0.07955885483718672
CARL,midday,485,658,0.009870757327797054,0.23176628511133973,0.04536447035982105
CARR,close,811,468,0.0007770714424095714,0.6649572443851743,-0.19994934536470454
CARR,midday,7207,2982,0.0011043942318095677,0.6546122668074335,0.3599479450022851
CARR,open,647,325,0.0035645517687048368,0.14304699531826293,-0.30626384696910347
CARS,close,235,232,0.0007876548726844269,0.5501030859257581,0.4412598265887113
CARS,midday,1395,837,0.001754650903940929,0.44073536096899013,0.49729363472268073
CARS,open,83,73,0.012887790008257126,0.28070736488482817,-0.7865215537315946
CART,close,746,455,0.00039097504131644213,0.6644713944210787,0.5956851948831622
CART,midday,6560,2609,0.001302528952790614,0.5270563272104898,0.3046743745191993
CART,open,753,325,0.004005208802232434,0.45579184001933276,0.6315283679300778
CARU,close,560,299,0.005033972285395449,0.9967138068135527,0.9745907959893767
CARU,midday,8387,2834,0.005099352221795666,0.9867058474454553,0.990616502799902
CARU,open,1195,430,0.006314769693042498,0.883464977716157,0.9389589888241392
CARY,midday,100,43,0.00048630911484699935,0.3388141671920641,-0.5225050825948931
CARZ,midday,226,95,0.005335862589656474,0.54924902876402,0.15611665264829466
CARZ,open,57,14,0.01142226148409894,0.9608794526988187,0.9925067447850936
CASH,close,149,210,0.014412512760226044,0.21171009616996395,-0.7867491805309543
CASH,midday,633,383,0.01940126542827893,0.29044873509269614,-0.5194168464541082
CASI,midday,97,51,0.0011404695251099482,0.21742200497475794,-451.5451712525819
CASS,close,170,175,0.0012529023164940293,0.1108171617648676,0.1778703591496884
CASS,midday,490,233,0.0012611521565657556,0.04891336888664981,0.17811169075739242
CASY,close,174,184,0.1183924016892194,0.4564144510636681,-3.717760453165303
CASY,midday,1058,565,0.1922927693487705,0.22108757201470697,0.29780495752088776
CASY,open,252,40,0.519917803686307,0.24208501135801858,0.10400173942318502
CAT,close,567,356,0.04409975642354241,0.3116641304282655,0.2050883467156539
CAT,midday,3721,1674,0.03006726466176535,0.14251388848219462,0.21670225121415487
CAT,open,645,217,0.033136455418819835,0.11957346023412334,0.1620940348924269
CATH,close,339,200,0.0007081168041681622,0.9293120533052274,0.376876888209966
CATH,midday,4179,1010,0.0010921005535544403,0.7444766734457,0.8373601481488739
CATH,open,591,290,0.0009052040357575997,0.4318179872756377,0.5441866889859601
CATO,close,41,68,0.008117608445787204,0.2976338911360545,0.4497699660096479
CATO,midday,91,106,0.008064156249752083,0.300200111642761,-0.07648272808013834
CATX,close,197,127,7.906279992618623e-05,0.8532062054034387,0.7942276050886923
CATX,midday,1424,900,0.00023524501376348444,0.8030013538173927,0.7446441374131065
CATX,open,312,72,0.00034901576243980757,0.6969436734945582,0.5809336587587154
