tier,session,h,block,n,vol,w_eff,w_real,w_impact
rest,midday,1s,136,29409,1867644.0,49330345.80187238,2223218.7573726536,47107127.04449973
rest,midday,1s,137,25371,1675444.0,89317864.83121958,31968869.866106514,57348994.96511307
rest,midday,1s,138,30750,1890841.0,104596477.9558957,49187485.93413002,55408992.021765694
rest,midday,1s,139,28438,1786396.0,119151809.24018073,42275658.134032995,76876151.10614777
rest,midday,1s,140,27269,1649956.0,40934620.88026349,-7087119.627373771,48021740.50763726
rest,midday,1s,141,29400,1831806.0,108849951.53790113,48332981.299526595,60516970.23837455
rest,midday,1s,142,22980,1433690.0,41804383.80252519,-1003006.836301176,42807390.63882636
rest,midday,1s,143,26534,1665243.0,36706759.23401831,-1919458.9246713454,38626218.158689655
rest,midday,1s,144,23938,1334149.0,40366761.003254585,-3693983.0880941115,44060744.0913487
rest,midday,1s,145,26030,1507384.0,37535066.20265322,-4383354.798795269,41918421.0014485
rest,midday,1s,146,26318,1476981.0,40822761.39921957,-5037845.061271587,45860606.46049117
rest,midday,1s,147,26889,1462119.0,33231867.654370584,2152981.1490064654,31078886.505364116
rest,midday,1s,148,23379,1251804.0,32696962.0190228,3931465.4639143157,28765496.55510848
rest,midday,1s,149,31156,1791500.0,36444013.729453504,-4012350.0492737982,40456363.7787273
rest,midday,1s,150,25939,1465165.0,54353378.633630924,-15308509.087861188,69661887.72149213
rest,midday,1s,151,40622,2420770.0,49616915.54743655,-10249643.533286989,59866559.08072353
rest,midday,1s,152,23405,1400011.0,37300161.60933068,3522868.0066583175,33777293.602672346
rest,midday,1s,153,27261,1606620.0,47985122.27661205,4839402.254301115,43145720.02231094
rest,midday,1s,154,28767,1690991.0,35578083.79008635,-3328813.6769743315,38906897.467060685
rest,midday,1s,155,21300,1272339.0,37979120.86099574,-5256457.617942612,43235578.47893836
rest,midday,1s,156,24040,1413054.0,41518430.17955368,-14584817.439920671,56103247.61947435
rest,midday,1s,157,24391,1629863.0,71740853.68198475,18701446.81047128,53039406.87151345
rest,midday,1s,158,24360,1360704.0,30276967.62437988,-7939740.441664239,38216708.06604412
rest,midday,1s,159,27712,1625490.0,39267608.04858237,5666798.809980264,33600809.23860211
rest,midday,1s,160,23100,1360353.0,37726689.89352683,5762987.160987391,31963702.732539445
rest,midday,1s,161,22092,1312396.0,31200822.04401356,-17712619.06280561,48913441.106819175
rest,midday,1s,162,28870,1635332.0,34008472.5739358,524530.9946361582,33483941.579299636
rest,midday,1s,163,22332,1334400.0,36183710.192618474,-2571805.7109298464,38755515.90354833
rest,midday,1s,164,21391,1253836.0,27855620.01322179,-3248763.3604563097,31104383.3736781
rest,midday,1s,165,24206,1415263.0,32283379.24212566,-19637660.787860915,51921040.02998656
rest,midday,1s,166,22351,1325890.0,35852633.34732756,-3850891.1345094414,39703524.481837
